IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41946759,4551801,,,,11,2,,19.9,NO,NO,NO,,,12.5344,
41946760,4551802,,,,7,2,,18.75,NO,NO,NO,,,,
41946761,4551806,,,,35,4,7,21,NO,NO,NO,,,37.5119,
41946762,4551810,,,,,,,,NO,NO,,,,,
41946763,4551812,,,,12,2,,19.6,SI,NO,NO,,,,
41946764,4551815,12,6,4,,,,29,NO,NO,NO,,9.2438,,
41946765,4551821,50,,,,,,19.5,NO,SI,NO,,31.3032,,
41946766,4551830,20,4,,12,1,2,16.4,SI,SI,NO,,80.8813,15.5222,
41946767,4551832,14,2,7,13,2,6,16.4,NO,NO,NO,,9.1109,33.2879,
41946768,4551850,,,,,,,,NO,NO,NO,,,,
41946769,4551855,,,,,,,,SI,NO,NO,,,,
41946770,4551875,2,2,2,20,6,4,20.3,NO,NO,NO,,,,
41946771,4551878,11,,,,,,15,NO,NO,SI,SI,7.9832,,
41946772,4551885,44,12,,,,,15,SI,NO,NO,,32.9654,,
41946773,4551891,14,,,,,,19.5,NO,SI,NO,,30.2817,,
41946774,4551899,12,4,,,,,18.75,NO,NO,NO,,8.2509,,
41946775,4551902,12,1,,16,4,,19.6,NO,,,,,,
41946776,4551903,21,3,4,,,,21.2,NO,NO,NO,,15.128,,
41946777,4551905,9,,,22,,,19.5,NO,NO,NO,,26.8155,,
41946778,4551911,5,,,,,,15.65,,,,,,,
41946779,4551913,,,,14,2,,18.75,NO,NO,NO,,,,
41946780,4551916,,,,,,,,NO,NO,NO,,,,
41946781,4551919,7,13,4,,,,19.6,NO,NO,NO,,15.3818,,
41946782,4551921,4,4,4,,,,15,NO,NO,NO,,,,
41946783,4551924,,,,12,,,19.6,NO,NO,NO,,12.6311,,
41946784,4551930,8,,,,,,15.65,NO,NO,NO,,,,
41946785,4551941,23,6,7,,,,19.9,NO,NO,NO,,14.185,,
41946786,4551943,140,5,12,,,,19.85,SI,SI,NO,,56.5438,,96.5107
41946787,4551945,,,,9,6,,18.75,SI,NO,NO,,,6.6774,
41946788,4551948,60,7,,50,3,,18.75,NO,NO,NO,,42.8154,28.5081,
41946789,4551951,10,2,,11,2,4,20.4,NO,SI,NO,,9.0263,13.2653,
41946790,4551952,7,,,20,,2,15,NO,NO,NO,,4.0532,37.1203,
41946791,4551957,10,,,,,,19.5,NO,NO,NO,,7.952,,
41946792,4551961,23,3,,14,2,4,20.3,NO,SI,NO,,23.0545,12.1162,
41946793,4551976,11,10,5,40,30,5,14.25,NO,NO,NO,,34.653,,
41946794,4551981,,,,11,2,,19.6,NO,NO,NO,,,8.6577,
41946795,4551994,,,,10,2,,19.6,SI,NO,NO,,,,
41946796,4551996,14,2,4,,,,20,NO,,,,,,
41946797,4551997,3,,,,,,19.6,NO,,,,,,
41946798,4552009,16,8,8,,,,19.5,NO,NO,NO,,17.103,,
41946799,4552014,5,2,,,,,19.6,SI,NO,NO,,,,
41946800,4552019,7,,,,,,14.25,,,SI,SI,38.813,,
41946801,4552027,26,,,53,,,19.5,NO,SI,NO,,25.5229,31.5953,
41946802,4552039,6,,,,,,15.65,,,,,,,
41946803,4552041,10,2,6,,,,15,SI,NO,NO,,9.1923,,
41946804,4552049,,,,,,,,NO,NO,NO,,,,
41946805,4552055,35,7,1,44,15,3,15,NO,NO,NO,,34.8066,,
41946806,4552076,8,,,,,,15,NO,NO,SI,SI,8.8995,,
41946807,4552079,,,,,,,15,NO,NO,NO,,,,
