IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
14955,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1340,SLX VILLA JUAREZ CENTRO,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14956,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1132,LEY EXPRESS VILLA BONITA,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14957,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1137,LEY EXPRESS SANALONA,LEY EXPRESS,A,SIN ASIGNAR,SINALOA,AREA 1,AREA I  PACIFICO
14958,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1161,LEY EXPRESS CHULAVISTA,LEY EXPRESS,A,SIN ASIGNAR,SINALOA,AREA 1,AREA I  PACIFICO
14959,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1170,LEY EXPRESS LOS ANGELES,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14960,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1188,LEY EXPRESS MEZCALES,LEY EXPRESS,A,SIN ASIGNAR,SINALOA,AREA 1,AREA I  PACIFICO
14961,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1197,LEY EXPRESS LAS TORRES,LEY EXPRESS,AA,CULIACAN,SINALOA,AREA 1,AREA I  PACIFICO
14962,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1207,LEY EXPRESS VIA,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14963,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1211,LEY EXPRESS AGUARUTO,LEY EXPRESS,A,CULIACAN,SINALOA,AREA 1,AREA I  PACIFICO
14964,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1227,LEY EXPRESS LA ESPERANZA,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14965,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1330,LEY EXP BUENOS AIRES,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14966,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1193,LEY EXPRESS MESA COLORADA,LEY EXPRESS,AA,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14967,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1216,LEY EXPRESS AURORAS,LEY EXPRESS,AA,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14968,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1228,LEY EXPRESS VISTA HERMOSA,LEY EXPRESS,AA,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14969,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1241,LEY EXPRESS LOS CANGREJOS,LEY EXPRESS,AA,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14970,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1327,SUP LEY EXP PLAZA CANTABRIA,SUPER LEY EXPRESS,AA,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14971,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1328,LEY LAGUNITAS,CASA LEY,AA,CABO SAN LUCAS,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
14972,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1058,LEY CALIFORNIA,LEY,A,SIN ASIGNAR,SONORA,AREA 1,AREA I  PACIFICO
14973,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1229,LEY EXPRESS MIRAVALLE,LEY EXPRESS,A,SIN ASIGNAR,SONORA,AREA 1,AREA I  PACIFICO
14974,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,3,ALTAMIRA,ARTELI,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14975,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1231,LEY EXPRESS BUGAMBILIAS,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14976,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1261,SUPER LEY EXPRESS PUEBLO YAQUI,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14977,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1262,SUPER LEY EXPRESS PARIS,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14978,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1269,SUPER LEY EXPRESS ROSALES,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14979,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1317,SUPER LEY EXP BENITO JUAREZ,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14980,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1350,LEY EXPRESS HUATABAMPO CENTRO,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14981,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1355,SUPER LEY EXPRESS CUAUHTEMOC,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14982,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,13,OBREGON,ARTELI EXPRESS,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14983,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,14,INFONAVIT,ARTELI EXPRESS,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14984,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,15,AYUNTAMIENTO,ARTELI EXPRESS,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14985,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,20,COLONIAS,ARTELI,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14986,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,25,TAMUIN,AKA SUPERBODEGA,A,SIN ASIGNAR,SAN LUIS POTOSI,AREA 2,AREA II  NORTE
14987,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,22,DEL VALLE,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
14988,AUTOSERVICIOS,CADENAS REGIONALES,ARTELI,ARTELI,32,MONTE ALTO,AKA SUPERBODEGA,A,TAMPICO,TAMAULIPAS,AREA 2,AREA II  NORTE
